,Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI,Keq
365,,2.7.7.8,Escherichia coli,R366,Polyribonucleotide nucleotidyltransferase,R00438,MRL,C00009,C00015; C00046,Km_C00015: 0.183979571; Km_C00046: 0.45313757649999997; Km_C00009: 0.722295582,Kcat_F: 74.26703897; Kcat_R: 41.77219182,C00454;C00015;C00009;C00035;C00112;C00008;C00046,C00112_KI: 0.058480415;C00046_KI: 0.216159205;C00035_KI: 0.050594199;C00009_KI: 0.722295582;C00015_KI: 0.183979571;C00008_KI: 0.065446258;C00454_KI: 0.216159205,
366,,2.7.7.8,Escherichia coli,R367,Polyribonucleotide nucleotidyltransferase,R00439,MRL,C00009,C00035; C00046,Km_C00035: 0.050594199; Km_C00046: 0.38644489049999997; Km_C00009: 0.722295582,Kcat_F: 74.26703897; Kcat_R: 40.59811599,C00454;C00015;C00009;C00035;C00112;C00008;C00046,C00112_KI: 0.058480415;C00046_KI: 0.216159205;C00035_KI: 0.050594199;C00009_KI: 0.722295582;C00015_KI: 0.183979571;C00008_KI: 0.065446258;C00454_KI: 0.216159205,
367,,2.7.7.8,Escherichia coli,R368,Polyribonucleotide nucleotidyltransferase,R00440,MRL,C00009,C00046; C00112,Km_C00046: 0.3903879985; Km_C00112: 0.058480415; Km_C00009: 0.722295582,Kcat_F: 74.26703897; Kcat_R: 54.93837149,C00454;C00015;C00009;C00035;C00112;C00008;C00046,C00112_KI: 0.058480415;C00046_KI: 0.216159205;C00035_KI: 0.050594199;C00009_KI: 0.722295582;C00015_KI: 0.183979571;C00008_KI: 0.065446258;C00454_KI: 0.216159205,
370,,1.8.1.9,Escherichia coli,R371,Thioredoxin-disulfide reductase,R02016,MRL,C00006; C00342,C00005; C00080; C00343,Km_C00005: 0.001; Km_C00080: 0.074338257; Km_C00343: 0.030253494333333335; Km_C00006: 0.015422226; Km_C00342: 0.030253494333333335,Kcat_F: 9.6816503305; Kcat_R: 13.5601482,C00097;C18902;C01528;C00005;C00006;C05526;C00051;C05684;C00080;C00343;C00001;C05703;C00342,C01528_KI: 0.017746992;C00343_KI: 0.10500890427272726;C00097_KI: 0.039634574;C00051_KI: 0.057596125;C05684_KI: 0.241273254;C18902_KI: 0.411735684;C05526_KI: 0.028693747;C00001_KI: 0.091190882;C00006_KI: 0.015422226;C00342_KI: 0.10500890427272726;C05703_KI: 0.171873853;C00080_KI: 0.074338257;C00005_KI: 0.005592353,
371,,1.8.1.9,Escherichia coli,R372,Thioredoxin-disulfide reductase,R00900,MRL,C00006; C00051; C00097,C00005; C05526,Km_C00005: 0.001; Km_C05526: 0.028693747; Km_C00006: 0.015422226; Km_C00051: 0.057596125; Km_C00097: 0.039634574,Kcat_F: 9.830325756; Kcat_R: 25.379884565,C00097;C18902;C01528;C00005;C00006;C05526;C00051;C05684;C00080;C00343;C00001;C05703;C00342,C01528_KI: 0.017746992;C00343_KI: 0.10500890427272726;C00097_KI: 0.039634574;C00051_KI: 0.057596125;C05684_KI: 0.241273254;C18902_KI: 0.411735684;C05526_KI: 0.028693747;C00001_KI: 0.091190882;C00006_KI: 0.015422226;C00342_KI: 0.10500890427272726;C05703_KI: 0.171873853;C00080_KI: 0.074338257;C00005_KI: 0.005592353,
372,,1.8.1.9,Escherichia coli,R373,Thioredoxin-disulfide reductase,R03596,MRL,C00001; C00006; C01528,C00005; C00080; C05684,Km_C00005: 0.001; Km_C00080: 0.074338257; Km_C05684: 0.241273254; Km_C00001: 0.091190882; Km_C00006: 0.015422226; Km_C01528: 0.017746992,Kcat_F: 4.036162023; Kcat_R: 7.509745816500001,C00097;C18902;C01528;C00005;C00006;C05526;C00051;C05684;C00080;C00343;C00001;C05703;C00342,C01528_KI: 0.017746992;C00343_KI: 0.10500890427272726;C00097_KI: 0.039634574;C00051_KI: 0.057596125;C05684_KI: 0.241273254;C18902_KI: 0.411735684;C05526_KI: 0.028693747;C00001_KI: 0.091190882;C00006_KI: 0.015422226;C00342_KI: 0.10500890427272726;C05703_KI: 0.171873853;C00080_KI: 0.074338257;C00005_KI: 0.005592353,
373,,1.8.1.9,Escherichia coli,R374,Thioredoxin-disulfide reductase,R09372,MRL,C00005; C00080; C18902,C00001; C00006; C05703,Km_C00001: 0.091190882; Km_C00006: 0.015422226; Km_C05703: 0.171873853; Km_C00005: 0.001; Km_C00080: 0.074338257; Km_C18902: 0.411735684,Kcat_F: 7.5164540365; Kcat_R: 4.0189494303333335,C00097;C18902;C01528;C00005;C00006;C05526;C00051;C05684;C00080;C00343;C00001;C05703;C00342,C01528_KI: 0.017746992;C00343_KI: 0.10500890427272726;C00097_KI: 0.039634574;C00051_KI: 0.057596125;C05684_KI: 0.241273254;C18902_KI: 0.411735684;C05526_KI: 0.028693747;C00001_KI: 0.091190882;C00006_KI: 0.015422226;C00342_KI: 0.10500890427272726;C05703_KI: 0.171873853;C00080_KI: 0.074338257;C00005_KI: 0.005592353,
378,,2.4.2.1,Escherichia coli,R379,Purine-nucleoside phosphorylase,R08368,MRL,C00009; C15586,C00620; C15587,Km_C00620: 0.1; Km_C15587: 0.215420234; Km_C00009: 0.330840468; Km_C15586: 0.215420234,Kcat_F: 0.16145044; Kcat_R: 10.2421487,C00620;C05512;C00009;C00385;C15586;C05841;C00242;C00253;C00672;C00262;C03150;C00526;C00106;C00153;C00559;C00080;C00212;C00387;C00330;C01762;C00294;C00147;C15587,C00262_KI: 0.134442046;C00387_KI: 0.061721709;C00147_KI: 0.09873835;C15586_KI: 0.16081397695238092;C00330_KI: 0.067407027;C05512_KI: 0.076899521;C00153_KI: 0.128533378;C00106_KI: 0.118746132;C00009_KI: 0.330840468;C03150_KI: 0.105922893;C00385_KI: 0.062240914;C00672_KI: 0.281567872;C15587_KI: 0.16081397695238092;C00253_KI: 0.090032406;C00620_KI: 0.280303895;C00294_KI: 0.149869353;C05841_KI: 0.176781312;C00080_KI: 0.754662514;C01762_KI: 0.078980707;C00242_KI: 0.082168639;C00526_KI: 0.180797607;C00212_KI: 0.060333014;C00559_KI: 0.056103759,
391,,6.1.1.19,Escherichia coli,R392,Arginine-trna ligase,R03646,MRL,C00002; C00062; C01636,C00013; C00020; C02163,Km_C00013: 0.0993158; Km_C00020: 0.08540345; Km_C02163: 0.08681751271428571; Km_C00002: 0.148291394; Km_C00062: 0.098885491; Km_C01636: 0.002191428571428571,Kcat_F: 8.294182238666666; Kcat_R: 2.1367699195000003,C00020;C00062;C02163;C00013;C01636;C00002,C01636_KI: 0.10797403375;C02163_KI: 0.10797403375;C00013_KI: 0.0993158;C00020_KI: 0.08540345;C00002_KI: 0.148291394;C00062_KI: 0.098885491,
392,,1.5.1.34,Escherichia coli,R393,"6,7-dihydropteridine reductase",R07354,MRL,C00003; C05650,C00004; C00080; C05649,Km_C00004: 0.091; Km_C00080: 0.940049827; Km_C05649: 0.159457043; Km_C00003: 0.148144722; Km_C05650: 0.147017151,Kcat_F: 2.2276330515; Kcat_R: 0.9983449440000001,C00004;C00005;C00006;C00080;C00272;C00268;C00003;C05650;C05649,C05650_KI: 0.147017151;C00006_KI: 0.102823012;C00268_KI: 0.12505959;C00003_KI: 0.148144722;C00272_KI: 0.094508976;C00080_KI: 0.940049827;C00004_KI: 0.101567693;C05649_KI: 0.159457043;C00005_KI: 0.097939037,
394,,1.5.1.34,Escherichia coli,R395,"6,7-dihydropteridine reductase",R07355,MRL,C00006; C05650,C00005; C00080; C05649,Km_C00005: 1.32; Km_C00080: 0.940049827; Km_C05649: 0.159457043; Km_C00006: 0.102823012; Km_C05650: 0.147017151,Kcat_F: 2.1838376435; Kcat_R: 0.9793622415000001,C00004;C00005;C00006;C00080;C00272;C00268;C00003;C05650;C05649,C05650_KI: 0.147017151;C00006_KI: 0.102823012;C00268_KI: 0.12505959;C00003_KI: 0.148144722;C00272_KI: 0.094508976;C00080_KI: 0.940049827;C00004_KI: 0.101567693;C05649_KI: 0.159457043;C00005_KI: 0.097939037,
397,,3.6.1.1,Escherichia coli,R398,Inorganic diphosphatase,R00004,MRL,C00001; C00013,C00009,Km_C00009: 0.349954635; Km_C00001: 0.391432196; Km_C00013: 0.15695,Kcat_F: 77.346064171; Kcat_R: 3.341416999,C00001;C00009;C00013,C00001_KI: 0.391432196;C00013_KI: 0.080407746;C00009_KI: 0.349954635,
398,,1.1.1.251,Escherichia coli,R399,Galactitol-1-phosphate 5-dehydrogenase,R05147,MRL,C00003; C06311,C00004; C00080; C06312,Km_C00004: 0.044706002; Km_C00080: 2.378057241; Km_C06312: 0.390606076; Km_C00003: 0.098221257; Km_C06311: 0.138867036,Kcat_F: 2.5876312025; Kcat_R: 1.6005881345,C00004;C06311;C06312;C00080;C01097;C00003,C00003_KI: 0.098221257;C00080_KI: 2.378057241;C00004_KI: 0.044706002;C06311_KI: 0.138867036;C06312_KI: 0.390606076;C01097_KI: 0.390606076,
401,,2.4.2.3,Escherichia coli,R402,Uridine phosphorylase,R08229,MRL,C00620; C07649,C00009; C16633,Km_C00009: 1.061166644; Km_C16633: 0.6125017949999999; Km_C00620: 0.627589643; Km_C07649: 0.148749098,Kcat_F: 3.8584962115; Kcat_R: 0.231571476,C00620;C00106;C07649;C00299;C00009;C16633,C00620_KI: 0.627589643;C07649_KI: 0.148749098;C00009_KI: 1.061166644;C00299_KI: 0.412329316;C00106_KI: 0.203466654;C16633_KI: 0.49066027100000004,
404,,6.1.1.2,Escherichia coli,R405,Tryptophan-trna ligase,R03664,MRL,C00002; C00078; C01652,C00013; C00020; C03512,Km_C00013: 0.136781156; Km_C00020: 0.058931675; Km_C03512: 0.0578675728; Km_C00002: 0.063056268; Km_C00078: 0.029948765; Km_C01652: 0.00062,Kcat_F: 33.58905062666667; Kcat_R: 29.134439466,C00020;C03512;C01652;C00013;C00078;C00002,C00013_KI: 0.136781156;C01652_KI: 0.072179466;C00078_KI: 0.029948765;C00002_KI: 0.063056268;C03512_KI: 0.072179466;C00020_KI: 0.058931675,
407,,2.7.7.7,Escherichia coli,R408,Dna-directed dna polymerase,R00375,MRL,C00131,C00013; C00039,Km_C00013: 0.108610287; Km_C00039: 0.0574201435; Km_C00131: 0.00623,Kcat_F: 1.16; Kcat_R: 0.000582467,C00039;C00131;C00286;C00458;C00459;C00013,C00131_KI: 0.037639029;C00459_KI: 0.044189151;C00039_KI: 0.0522786772;C00013_KI: 0.108610287;C00286_KI: 0.034297802;C00458_KI: 0.036657117,
408,,2.7.7.7,Escherichia coli,R409,Dna-directed dna polymerase,R00376,MRL,C00286,C00013; C00039,Km_C00013: 0.108610287; Km_C00039: 0.0599051435; Km_C00286: 0.0112,Kcat_F: 1.64; Kcat_R: 0.000582467,C00039;C00131;C00286;C00458;C00459;C00013,C00131_KI: 0.037639029;C00459_KI: 0.044189151;C00039_KI: 0.0522786772;C00013_KI: 0.108610287;C00286_KI: 0.034297802;C00458_KI: 0.036657117,
409,,2.7.7.7,Escherichia coli,R410,Dna-directed dna polymerase,R00377,MRL,C00458,C00013; C00039,Km_C00013: 0.108610287; Km_C00039: 0.0558051435; Km_C00458: 0.003,Kcat_F: 1.75; Kcat_R: 0.000582467,C00039;C00131;C00286;C00458;C00459;C00013,C00131_KI: 0.037639029;C00459_KI: 0.044189151;C00039_KI: 0.0522786772;C00013_KI: 0.108610287;C00286_KI: 0.034297802;C00458_KI: 0.036657117,
410,,2.7.7.7,Escherichia coli,R411,Dna-directed dna polymerase,R00378,MRL,C00459,C00013; C00039,Km_C00013: 0.108610287; Km_C00039: 0.0544801435; Km_C00459: 0.00035,Kcat_F: 6.57; Kcat_R: 0.000582467,C00039;C00131;C00286;C00458;C00459;C00013,C00131_KI: 0.037639029;C00459_KI: 0.044189151;C00039_KI: 0.0522786772;C00013_KI: 0.108610287;C00286_KI: 0.034297802;C00458_KI: 0.036657117,
416,,6.1.1.16,Escherichia coli,R417,Cysteine-trna ligase,R03650,MRL,C00002; C00097; C01639,C00013; C00020; C03125,Km_C00013: 0.07970883; Km_C00020: 0.024324605; Km_C03125: 0.038915311749999994; Km_C00002: 0.038747367; Km_C00097: 0.012880445; Km_C01639: 0.038915311749999994,Kcat_F: 0.5814717523333333; Kcat_R: 0.4245691145,C00097;C00020;C01639;C03125;C00013;C00002,C01639_KI: 0.03891531175;C03125_KI: 0.03891531175;C00097_KI: 0.012880445;C00013_KI: 0.07970883;C00020_KI: 0.024324605;C00002_KI: 0.038747367,
420,,3.1.3.25,Escherichia coli,R421,Inositol-phosphate phosphatase,R07343,MRL,C00001; C15585,C00009; C00137,Km_C00009: 0.369495213; Km_C00137: 0.262719423; Km_C00001: 0.137840033; Km_C15585: 0.147341043,Kcat_F: 4.437444281; Kcat_R: 12.437051677,C03546;C00009;C00137;C00001;C04006;C01177;C15585,C15585_KI: 0.147341043;C03546_KI: 0.072910108;C00137_KI: 0.262719423;C01177_KI: 0.072910108;C00001_KI: 0.137840033;C00009_KI: 0.369495213;C04006_KI: 0.072910108,
428,,1.6.5.9,Escherichia coli,R429,Nadh:quinone reductase (non-electrogenic),R02163,MRL,C00003; C00390,C00004; C00080; C00399,Km_C00004: 0.027977455; Km_C00080: 0.152842596; Km_C00399: 0.011979265; Km_C00003: 0.048322354; Km_C00390: 0.0165185,Kcat_F: 15.810755279999999; Kcat_R: 30.003245225,C00004;C00080;C00399;C00390;C00003,C00390_KI: 0.0165185;C00399_KI: 0.011979265;C00004_KI: 0.027977455;C00003_KI: 0.048322354;C00080_KI: 0.152842596,
429,,3.1.4.46,Escherichia coli,R430,Glycerophosphodiester phosphodiesterase,R00857,MRL,C00001; C03120,C00069; C00093,Km_C00069: 0.7126727104999999; Km_C00093: 0.412042141; Km_C00001: 1.01330328; Km_C03120: 0.7126727104999999,Kcat_F: 23.2512912; Kcat_R: 169.4134539,C01233;C00093;C00001;C00069;C00189;C03120;C00670;C00114,C00069_KI: 0.4940505671666666;C03120_KI: 0.4940505671666666;C01233_KI: 0.258681476;C00189_KI: 0.388518512;C00093_KI: 0.412042141;C00670_KI: 0.378167301;C00001_KI: 1.01330328;C00114_KI: 0.513590693,
430,,3.1.4.46,Escherichia coli,R431,Glycerophosphodiester phosphodiesterase,R01030,MRL,C00001; C00670,C00093; C00114,Km_C00093: 0.412042141; Km_C00114: 0.513590693; Km_C00001: 1.01330328; Km_C00670: 0.378167301,Kcat_F: 217.69687985000002; Kcat_R: 249.9006948,C01233;C00093;C00001;C00069;C00189;C03120;C00670;C00114,C00069_KI: 0.4940505671666666;C03120_KI: 0.4940505671666666;C01233_KI: 0.258681476;C00189_KI: 0.388518512;C00093_KI: 0.412042141;C00670_KI: 0.378167301;C00001_KI: 1.01330328;C00114_KI: 0.513590693,
431,,3.1.4.46,Escherichia coli,R432,Glycerophosphodiester phosphodiesterase,R01470,MRL,C00001; C01233,C00093; C00189,Km_C00093: 0.412042141; Km_C00189: 0.388518512; Km_C00001: 1.01330328; Km_C01233: 0.21000000000000002,Kcat_F: 12.175645600000001; Kcat_R: 146.48023835,C01233;C00093;C00001;C00069;C00189;C03120;C00670;C00114,C00069_KI: 0.4940505671666666;C03120_KI: 0.4940505671666666;C01233_KI: 0.258681476;C00189_KI: 0.388518512;C00093_KI: 0.412042141;C00670_KI: 0.378167301;C00001_KI: 1.01330328;C00114_KI: 0.513590693,
433,,2.4.1.1,Escherichia coli,R434,Glycogen phosphorylase,R01821,MRL,C00009,C00103; C00718,Km_C00103: 1.0; Km_C00718: 0.982406914; Km_C00009: 0.964813828,Kcat_F: 3.29200599; Kcat_R: 24.68616551,C00369;C00103;C00009;C00718,C00009_KI: 0.964813828;C00369_KI: 0.7903061805;C00103_KI: 0.615798533;C00718_KI: 0.7903061805,
439,,2.4.2.8,Escherichia coli,R440,Hypoxanthine phosphoribosyltransferase,R08237,MRL,C00119; C02380,C00013; C04646,Km_C00013: 0.105537586; Km_C04646: 0.024149312; Km_C00119: 0.033; Km_C02380: 0.018683245,Kcat_F: 0.6850260925; Kcat_R: 1.3441892949999998,C00655;C16614;C16615;C16619;C00020;C00130;C04646;C00147;C00242;C00119;C07648;C00013;C00262;C00144;C00385;C02380,C00262_KI: 0.042515699;C00144_KI: 0.032523356;C00020_KI: 0.031937573;C00119_KI: 0.091175258;C00242_KI: 0.031592574;C00130_KI: 0.035979714;C04646_KI: 0.024149312;C16619_KI: 0.04487930553846154;C07648_KI: 0.019273639;C16615_KI: 0.04487930553846154;C00385_KI: 0.047172796;C00655_KI: 0.058072448;C00013_KI: 0.105537586;C02380_KI: 0.018683245;C00147_KI: 0.044817772;C16614_KI: 0.04487930553846154,
440,,2.4.2.8,Escherichia coli,R441,Hypoxanthine phosphoribosyltransferase,R08238,MRL,C00119; C16614,C00013; C16615,Km_C00013: 0.105537586; Km_C16615: 0.069268793; Km_C00119: 0.033; Km_C16614: 0.069268793,Kcat_F: 0.949489732; Kcat_R: 0.013489392,C00655;C16614;C16615;C16619;C00020;C00130;C04646;C00147;C00242;C00119;C07648;C00013;C00262;C00144;C00385;C02380,C00262_KI: 0.042515699;C00144_KI: 0.032523356;C00020_KI: 0.031937573;C00119_KI: 0.091175258;C00242_KI: 0.031592574;C00130_KI: 0.035979714;C04646_KI: 0.024149312;C16619_KI: 0.04487930553846154;C07648_KI: 0.019273639;C16615_KI: 0.04487930553846154;C00385_KI: 0.047172796;C00655_KI: 0.058072448;C00013_KI: 0.105537586;C02380_KI: 0.018683245;C00147_KI: 0.044817772;C16614_KI: 0.04487930553846154,
441,,2.4.2.8,Escherichia coli,R442,Hypoxanthine phosphoribosyltransferase,R08245,MRL,C00119; C07648,C00013; C16619,Km_C00013: 0.105537586; Km_C16619: 0.05260374166666667; Km_C00119: 0.033; Km_C07648: 0.019273639,Kcat_F: 0.6730631364999999; Kcat_R: 0.013489392,C00655;C16614;C16615;C16619;C00020;C00130;C04646;C00147;C00242;C00119;C07648;C00013;C00262;C00144;C00385;C02380,C00262_KI: 0.042515699;C00144_KI: 0.032523356;C00020_KI: 0.031937573;C00119_KI: 0.091175258;C00242_KI: 0.031592574;C00130_KI: 0.035979714;C04646_KI: 0.024149312;C16619_KI: 0.04487930553846154;C07648_KI: 0.019273639;C16615_KI: 0.04487930553846154;C00385_KI: 0.047172796;C00655_KI: 0.058072448;C00013_KI: 0.105537586;C02380_KI: 0.018683245;C00147_KI: 0.044817772;C16614_KI: 0.04487930553846154,
442,,3.2.1.23,Escherichia coli,R443,Beta-galactosidase,R01100,MRL,C00001; C00243,C00031; C00124,Km_C00031: 2.871545553; Km_C00124: 2.871545553; Km_C00001: 1.750396729; Km_C00243: 2.400593519,Kcat_F: 172.924101195; Kcat_R: 262.8871038,C00124;C05403;C05796;C06136;C05394;C00221;C06135;C04911;C00001;C00243;C00031;C00267;C01290;C01190;C04884,C00001_KI: 1.750396729;C05394_KI: 0.47884959;C06135_KI: 2.0845594555;C06136_KI: 2.0845594555;C01190_KI: 2.0845594555;C04911_KI: 2.0845594555;C04884_KI: 2.0845594555;C05403_KI: 0.560453594;C05796_KI: 2.0845594555;C00267_KI: 2.871545553;C00124_KI: 2.871545553;C01290_KI: 2.0845594555;C00221_KI: 2.871545553;C00031_KI: 2.871545553;C00243_KI: 2.400593519,
443,,3.2.1.23,Escherichia coli,R444,Beta-galactosidase,R01105,MRL,C00001,C00124; C05796,Km_C00124: 2.871545553; Km_C05796: 2.310971141; Km_C00001: 1.750396729,Kcat_F: 33.34495839; Kcat_R: 262.8871038,C00124;C05403;C05796;C06136;C05394;C00221;C06135;C04911;C00001;C00243;C00031;C00267;C01290;C01190;C04884,C00001_KI: 1.750396729;C05394_KI: 0.47884959;C06135_KI: 2.0845594555;C06136_KI: 2.0845594555;C01190_KI: 2.0845594555;C04911_KI: 2.0845594555;C04884_KI: 2.0845594555;C05403_KI: 0.560453594;C05796_KI: 2.0845594555;C00267_KI: 2.871545553;C00124_KI: 2.871545553;C01290_KI: 2.0845594555;C00221_KI: 2.871545553;C00031_KI: 2.871545553;C00243_KI: 2.400593519,
447,,3.2.1.23,Escherichia coli,R448,Beta-galactosidase,R04783,MRL,C00001; C05403,C00221; C05394,Km_C00221: 2.871545553; Km_C05394: 0.47884959; Km_C00001: 1.750396729; Km_C05403: 0.560453594,Kcat_F: 223.469136195; Kcat_R: 256.568656,C00124;C05403;C05796;C06136;C05394;C00221;C06135;C04911;C00001;C00243;C00031;C00267;C01290;C01190;C04884,C00001_KI: 1.750396729;C05394_KI: 0.47884959;C06135_KI: 2.0845594555;C06136_KI: 2.0845594555;C01190_KI: 2.0845594555;C04911_KI: 2.0845594555;C04884_KI: 2.0845594555;C05403_KI: 0.560453594;C05796_KI: 2.0845594555;C00267_KI: 2.871545553;C00124_KI: 2.871545553;C01290_KI: 2.0845594555;C00221_KI: 2.871545553;C00031_KI: 2.871545553;C00243_KI: 2.400593519,
452,,1.8.1.7,Escherichia coli,R453,Glutathione-disulfide reductase,R00094,MRL,C00003; C00051,C00004; C00080; C00127,Km_C00004: 0.377; Km_C00080: 0.109480821; Km_C00127: 0.076024041; Km_C00003: 0.123261236; Km_C00051: 0.215180427,Kcat_F: 53.31807817; Kcat_R: 195.1309761,C00004;C00127;C00005;C00006;C00051;C00080;C00003,C00080_KI: 0.109480821;C00005_KI: 0.030892735;C00004_KI: 0.045028225;C00003_KI: 0.123261236;C00127_KI: 0.076024041;C00051_KI: 0.215180427;C00006_KI: 0.068815149,
459,,3.2.1.21,Escherichia coli,R460,Beta-glucosidase,R00026,MRL,C00001; C00185,C00221,Km_C00221: 4.007536411; Km_C00001: 0.826479375; Km_C00185: 2.858436584,Kcat_F: 3.7550055325000002; Kcat_R: 3.25420191,C05839;C01798;C00760;C05712;C05713;C00185;C05838;C00001;C00031;C00267;C01335;C00221,C05713_KI: 2.275636498714286;C00760_KI: 2.275636498714286;C00221_KI: 4.007536411;C05712_KI: 2.275636498714286;C05838_KI: 0.047857631;C00031_KI: 4.007536411;C01798_KI: 2.275636498714286;C00001_KI: 0.826479375;C00185_KI: 2.858436584;C05839_KI: 0.174072668;C01335_KI: 2.275636498714286;C00267_KI: 4.007536411,
463,,3.2.1.21,Escherichia coli,R464,Beta-glucosidase,R04949,MRL,C00001; C05713,C00031; C05712,Km_C00031: 4.007536411; Km_C05712: 2.417007893; Km_C00001: 0.826479375; Km_C05713: 2.417007893,Kcat_F: 2.29805655; Kcat_R: 3.25420191,C05839;C01798;C00760;C05712;C05713;C00185;C05838;C00001;C00031;C00267;C01335;C00221,C05713_KI: 2.275636498714286;C00760_KI: 2.275636498714286;C00221_KI: 4.007536411;C05712_KI: 2.275636498714286;C05838_KI: 0.047857631;C00031_KI: 4.007536411;C01798_KI: 2.275636498714286;C00001_KI: 0.826479375;C00185_KI: 2.858436584;C05839_KI: 0.174072668;C01335_KI: 2.275636498714286;C00267_KI: 4.007536411,
464,,3.2.1.21,Escherichia coli,R465,Beta-glucosidase,R04998,MRL,C00001; C05839,C00031; C05838,Km_C00031: 4.007536411; Km_C05838: 0.047857631; Km_C00001: 0.826479375; Km_C05839: 0.174072668,Kcat_F: 2.759307033; Kcat_R: 3.247097305,C05839;C01798;C00760;C05712;C05713;C00185;C05838;C00001;C00031;C00267;C01335;C00221,C05713_KI: 2.275636498714286;C00760_KI: 2.275636498714286;C00221_KI: 4.007536411;C05712_KI: 2.275636498714286;C05838_KI: 0.047857631;C00031_KI: 4.007536411;C01798_KI: 2.275636498714286;C00001_KI: 0.826479375;C00185_KI: 2.858436584;C05839_KI: 0.174072668;C01335_KI: 2.275636498714286;C00267_KI: 4.007536411,
466,,3.5.1.88,Escherichia coli,R467,Peptide deformylase,R05635,MRL,C00001; C11439,C00058; C11440,Km_C00058: 1.338482141; Km_C11440: 0.02242907; Km_C00001: 0.672419548; Km_C11439: 0.027560268,Kcat_F: 0.811379655; Kcat_R: 2.4391033395,C11439;C00001;C11440;C00058,C00058_KI: 1.338482141;C11439_KI: 0.027560268;C11440_KI: 0.02242907;C00001_KI: 0.672419548,
473,,4.1.3.36,Escherichia coli,R474,"1,4-dihydroxy-2-naphthoyl-coa synthase",R04150,MRL,C03160,C00010; C03657,Km_C00010: 0.052870546; Km_C03657: 0.031073755; Km_C03160: 0.0259,Kcat_F: 0.062; Kcat_R: 920.5437117,C00010;C00001;C15547;C03160;C03657,C15547_KI: 0.2616526715;C03160_KI: 0.060660176;C03657_KI: 0.031073755;C00001_KI: 0.902006209;C00010_KI: 0.052870546,
475,,1.17.4.1,Escherichia coli,R476,Ribonucleoside-diphosphate reductase,R04294,MRL,C00001; C00343; C04232,C00342; C03723,Km_C00342: 0.934629202; Km_C03723: 0.934629202; Km_C00001: 0.934629202; Km_C00343: 0.934629202; Km_C04232: 0.934629202,Kcat_F: 2.407397168; Kcat_R: 19.78221183941891,C04232;C00361;C01346;C03170;C16663;C00015;C00008;C00343;C00001;C00035;C00705;C00112;C00342;C00206;C02090;C16664;C03723,C00001_KI: 0.934629202;C00035_KI: 0.046675805;C00343_KI: 0.12016243192307693;C00008_KI: 0.06649565;C01346_KI: 0.094106205;C04232_KI: 0.12016243192307693;C00705_KI: 0.039399628;C02090_KI: 0.058646727;C16663_KI: 0.02834568;C00015_KI: 0.095948279;C16664_KI: 0.030016251;C03170_KI: 0.054228313;C00112_KI: 0.045992795;C00342_KI: 0.12016243192307693;C00206_KI: 0.03239613;C03723_KI: 0.12016243192307693;C00361_KI: 0.03523095,
481,,1.17.4.1,Escherichia coli,R482,Ribonucleoside-diphosphate reductase,R08364,MRL,C00001; C03170; C04232,C02090; C03723,Km_C02090: 0.058646727; Km_C03723: 0.34916808066666666; Km_C00001: 0.934629202; Km_C03170: 0.054228313; Km_C04232: 0.34916808066666666,Kcat_F: 33.033846763999996; Kcat_R: 19.53106543,C04232;C00361;C01346;C03170;C16663;C00015;C00008;C00343;C00001;C00035;C00705;C00112;C00342;C00206;C02090;C16664;C03723,C00001_KI: 0.934629202;C00035_KI: 0.046675805;C00343_KI: 0.12016243192307693;C00008_KI: 0.06649565;C01346_KI: 0.094106205;C04232_KI: 0.12016243192307693;C00705_KI: 0.039399628;C02090_KI: 0.058646727;C16663_KI: 0.02834568;C00015_KI: 0.095948279;C16664_KI: 0.030016251;C03170_KI: 0.054228313;C00112_KI: 0.045992795;C00342_KI: 0.12016243192307693;C00206_KI: 0.03239613;C03723_KI: 0.12016243192307693;C00361_KI: 0.03523095,
490,,5.3.1.8,Escherichia coli,R491,Mannose-6-phosphate isomerase,R01819,MRL,C00275,C05345,Km_C05345: 0.33; Km_C00275: 0.454116464,Kcat_F: 17.48686851; Kcat_R: 23.0,C05345;C00275;C00085,C00085_KI: 0.392593026;C00275_KI: 0.454116464;C05345_KI: 0.392593026,
498,,2.6.1.33,Escherichia coli,R499,"Dtdp-4-amino-4,6-dideoxy-d-glucose transaminase",R02772,MRL,C00010; C00026; C06018,C00024; C00025; C11907,Km_C00024: 0.04753641; Km_C00025: 1.799565077; Km_C11907: 0.14; Km_C00010: 0.069717444; Km_C00026: 0.22; Km_C06018: 0.161368743,Kcat_F: 5.776223808; Kcat_R: 6.017516842999999,C06018;C00010;C11907;C00026;C00024;C00025;C04268,C06018_KI: 0.161368743;C04268_KI: 0.140812144;C11907_KI: 0.4310526625;C00026_KI: 0.367316157;C00025_KI: 1.799565077;C00010_KI: 0.069717444;C00024_KI: 0.04753641,
